"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"02/12/2020","119,86","119,50","-0,18","118,51","119,97","1,73M"
"01/12/2020","121,49","119,71","-0,34","118,55","121,49","2,47M"
"30/11/2020","118,23","120,12","2,09","117,96","120,57","3,32M"
"27/11/2020","114,90","117,66","1,80","114,90","119,11","3,19M"
"26/11/2020","114,87","115,58","1,06","114,40","116,17","5,35M"
"25/11/2020","114,00","114,37","0,33","113,22","114,95","14,26M"
"24/11/2020","113,82","114,00","0,16","112,83","114,11","2,62M"
"23/11/2020","113,84","113,82","0,02","113,65","114,20","2,88M"
"20/11/2020","113,60","113,80","0,32","113,32","114,20","929,81K"
"19/11/2020","113,68","113,44","0,02","113,27","113,71","2,36M"
"18/11/2020","113,50","113,42","0,09","112,88","113,53","1,80M"
"17/11/2020","113,61","113,32","-0,09","113,12","114,45","2,70M"
"16/11/2020","113,56","113,42","-0,13","113,22","113,64","3,26M"
"13/11/2020","113,46","113,56","0,10","113,22","113,56","3,95M"
"12/11/2020","113,12","113,46","0,30","113,12","113,47","2,10M"
"11/11/2020","113,12","113,12","0,00","112,88","113,12","1,53M"
"10/11/2020","113,12","113,12","0,00","112,88","113,12","2,97M"
"09/11/2020","112,72","113,12","0,36","112,24","113,12","1,86M"
"06/11/2020","112,63","112,72","0,15","112,24","112,73","2,33M"
"05/11/2020","112,48","112,55","0,11","112,24","112,73","2,08M"
"04/11/2020","112,13","112,43","0,26","112,04","112,43","923,43K"
"03/11/2020","112,22","112,14","0,81","111,84","112,92","2,37M"
"30/10/2020","110,75","111,23","0,47","110,75","111,44","3,51M"
"29/10/2020","110,48","110,71","0,22","109,30","110,95","3,03M"
"28/10/2020","111,44","110,46","-0,66","109,98","111,44","4,04M"
"27/10/2020","111,42","111,19","-0,22","110,73","111,52","3,12M"
"26/10/2020","112,15","111,44","-0,65","110,98","112,15","2,18M"
"23/10/2020","111,67","112,17","0,44","110,96","112,22","2,50M"
"22/10/2020","111,34","111,67","0,30","110,85","112,19","2,42M"
"21/10/2020","111,91","111,34","-0,51","110,93","112,17","2,10M"
"20/10/2020","111,92","111,91","0,43","111,44","112,19","1,63M"
"19/10/2020","111,99","111,44","-0,38","110,95","111,99","1,61M"
"16/10/2020","111,34","111,86","0,45","110,87","111,99","2,27M"
