"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"21/09/2020","87,75","88,20","0,52","87,10","88,43","4,83M"
"18/09/2020","88,23","87,75","-0,55","87,34","88,71","5,45M"
"17/09/2020","88,47","88,23","-0,22","87,89","88,58","3,87M"
"16/09/2020","88,96","88,43","-0,66","88,02","88,96","3,42M"
"15/09/2020","89,40","89,02","-0,43","86,80","89,67","4,38M"
"14/09/2020","89,70","89,40","-0,33","88,87","90,01","3,60M"
"11/09/2020","88,36","89,70","1,66","88,30","91,66","5,82M"
"10/09/2020","88,21","88,23","0,01","87,62","89,20","3,54M"
"09/09/2020","87,72","88,22","0,58","87,52","88,36","3,05M"
"08/09/2020","87,78","87,72","-0,56","87,25","88,31","3,47M"
"04/09/2020","88,31","88,21","0,00","88,00","88,31","2,13M"
"03/09/2020","88,00","88,21","0,25","87,97","88,36","2,13M"
"02/09/2020","87,84","88,00","0,17","87,58","88,17","3,39M"
"01/09/2020","88,19","87,85","-0,72","87,42","88,21","2,63M"
"31/08/2020","88,31","88,48","0,22","88,12","88,71","2,00M"
"28/08/2020","88,23","88,28","-0,37","88,16","89,08","3,04M"
"27/08/2020","88,97","88,61","-0,40","88,21","89,06","1,94M"
"26/08/2020","88,81","88,97","0,18","88,36","89,06","3,06M"
"25/08/2020","88,36","88,81","0,62","87,84","89,08","2,60M"
"24/08/2020","88,21","88,26","0,06","87,83","89,27","3,41M"
"21/08/2020","87,88","88,21","0,21","87,88","88,51","1,54M"
"20/08/2020","87,62","88,03","0,59","87,62","88,41","3,94M"
"19/08/2020","87,68","87,51","-0,12","87,24","88,51","4,19M"
"18/08/2020","88,16","87,62","-0,24","87,30","88,71","3,00M"
"17/08/2020","88,71","87,83","-0,96","87,72","89,19","1,81M"
"14/08/2020","87,99","88,68","0,79","87,72","88,92","2,38M"
"13/08/2020","86,99","87,99","1,34","86,39","87,99","5,62M"
"12/08/2020","86,89","86,83","0,23","86,11","86,89","3,93M"
"11/08/2020","87,68","86,63","-1,20","86,23","87,98","2,90M"
"10/08/2020","87,82","87,68","-0,16","87,33","88,40","3,52M"
"07/08/2020","88,22","87,82","-0,45","87,23","88,51","1,43M"
"06/08/2020","88,00","88,21","0,25","86,23","88,94","6,23M"
"05/08/2020","87,72","88,00","0,32","87,27","88,21","4,25M"
"04/08/2020","87,61","87,72","0,40","86,64","89,82","3,50M"
"03/08/2020","86,94","87,37","0,48","85,90","87,61","3,84M"
"31/07/2020","86,93","86,95","0,03","86,28","87,68","3,28M"
"30/07/2020","85,24","86,93","1,98","84,46","87,18","4,68M"
"29/07/2020","83,96","85,24","1,40","83,38","85,69","4,15M"
"28/07/2020","84,44","84,06","-0,44","83,67","84,52","4,35M"
"27/07/2020","85,27","84,44","-1,04","84,21","85,40","3,81M"
"24/07/2020","84,55","85,32","0,97","84,01","85,49","3,99M"
"23/07/2020","84,85","84,51","-0,12","83,66","85,01","4,86M"
"22/07/2020","85,84","84,60","-1,44","84,17","85,90","3,80M"
"21/07/2020","86,09","85,84","-0,32","85,69","86,09","1,83M"
"20/07/2020","86,06","86,12","0,07","85,66","86,83","3,96M"
"17/07/2020","86,35","86,06","-0,11","85,44","86,41","3,39M"
"16/07/2020","86,63","86,15","-0,55","86,10","87,57","2,82M"
"15/07/2020","86,94","86,63","-0,33","85,96","87,00","3,61M"
"14/07/2020","87,32","86,92","-0,79","86,88","87,51","5,51M"
"13/07/2020","87,00","87,61","0,69","85,74","87,91","4,49M"
"10/07/2020","87,11","87,00","-0,12","86,33","87,90","5,77M"
"09/07/2020","87,25","87,11","-0,16","86,83","88,87","2,82M"
"08/07/2020","86,93","87,25","0,00","84,58","87,63","7,50M"
"07/07/2020","88,79","87,25","-1,60","86,33","88,98","3,56M"
"06/07/2020","89,54","88,67","-0,93","88,42","89,68","2,69M"
"03/07/2020","89,89","89,50","-0,46","89,39","90,28","4,03M"
"02/07/2020","91,04","89,92","-1,24","89,84","91,05","6,66M"
"01/07/2020","91,31","91,04","0,08","90,02","91,31","4,39M"
"30/06/2020","91,45","90,98","-0,86","90,74","91,46","2,16M"
"29/06/2020","91,48","91,77","0,38","91,27","92,13","4,70M"
"26/06/2020","91,47","91,42","-0,05","91,28","91,75","2,86M"
"25/06/2020","91,24","91,47","0,30","91,18","91,86","1,98M"
"24/06/2020","91,86","91,19","-0,73","91,18","92,16","3,67M"
"23/06/2020","91,74","91,86","0,13","90,98","92,45","6,35M"
"22/06/2020","92,35","91,74","-1,09","91,37","92,35","4,49M"
"19/06/2020","90,83","92,75","2,45","90,73","92,75","7,16M"
"18/06/2020","90,53","90,53","0,00","90,29","90,90","2,98M"
"17/06/2020","91,95","90,53","-1,53","90,39","92,06","2,74M"
"16/06/2020","92,06","91,94","-0,13","91,57","92,56","3,72M"
"15/06/2020","91,62","92,06","0,54","90,95","92,55","3,22M"
"12/06/2020","91,57","91,57","-0,09","91,57","91,77","6,67M"
"10/06/2020","92,35","91,64","-0,79","91,57","92,55","4,00M"
"09/06/2020","90,64","92,37","1,39","90,64","92,55","5,74M"
